Subarea,Consolidado ou proposta do autor,Interativo ou Manipulativo,Tipo do jogo,Natureza,Tipologia,Publico alvo
optica,Proposta do auto,Manipulativo,Aplicativo digital,computacional,Aplicativoo de celular,Ensino Medio
Feramenta geral de ensino,Proposta do auto,Manipulativo,Aplicativo digital para inclusao de alunos deficientes,computacional,aplicativo para celular,ensino medio
Atronomia,Proposta do auto,Manipulativo,Jogo da Memoria,Teorico,Jogo ,Ensino Medio
Eletromagnetismo,Proposta do auto,Interativo,Jogo de carta,Teorico,Jogo ,Ensino Medio
Feramenta geral de ensino,Proposta do auto,Interativo,jogo cartas uno,Teorico,jogo ,Ensino Medio
Mecanica,Proposta do auto,Interativo,Jogo digital CineFut,computacional,jogo ,Ensino Medio
Termodinamica,Proposta do auto,Manipulativo,Aplicativo para auxiliar aulas de mecanica,computacional,Jogo,Ensino Medio
Eletromagnetismo,Proposta do auto,Manipulativo,jogo de RPG,Teorico,jogo,Ensino Medio
Termologia,Proposta do auto,Interativo,Jogo de baralho,Teorico,jogo,Ensino Medio
Eletricidade,Proposta do auto,Interativo,Jogo de tabuleiro,Teorico,jogo,Ensino Medio
Mecanica,Proposta do auto,Manipulativo,Jogo Digital ,computacional,jogo,Ensino Medio
Mecanica,Proposta do auto,Interativo,jogo “TRILHA DO CRIME”,Teorico,jogo,Ensino Medio
Mecanica,Proposta do auto,Manipulativo,Jogo de tabuleiro,Experimental,Jogo,Ensino Medio
Mecanica,Proposta do auto,Manipulativo,Jogo de tabuleiro,Teorico,jogo,Ensino Medio
mecanica,Consolidado ,Proposta do auto,lego,Manipulativo,jogo,Ensino Medio
Mecanica,Proposta do auto,Manipulativo,Game Zeeman jogo digital,computacional,jogo,ensino medio
optica,Proposta do auto,Manipulativo,Tipo puzzle2,computacional,jogo,Ensino Medio
Termodinamica,Proposta do auto,Manipulativo,jogo de tabuleiro,computacional,Sequencia Didatica,Ensino Medio
Eletromagnetismo,Proposta do auto,Interativo,JOGOS DE COMPETIcaO,Teorico,sequencia didatica,ensino medio
FMC,Proposta do auto,Interativo,jogo de tabuleiro,Teorico,jogo,ensino medio
mecanica,Consolidado,Manipulativo,Jogo de formula 1,computacional,jogo,ensino medio
