polo, subarea, natureza
6,Mecanica, Experimental 
6,Mecanica, Experimental
6,Eletromagnetismo, Experimental
6,Mecanica, Experimental, Experimental
6,Eletromagnetismo,Teorico
6,Feramenta Geral De Ensino, Teorico
6,Fisica moderna e comtemporanea,Teorico
6,Astronomia,Teorico
12,Termologia,Experimental
12,Termologia,Teorico
12,Eletromagnetismo,Experimental
12,mecanica, Experimental
22,Termologia,Teorico
22,Ondas, Experimental
22,Eletromagnetismo,Teorico
22,Eletromagnetismo,Experimental
22,Mecanica, Teorico
22,Fisica moderna e comtemporanea,Experimental
22,Mecanica,Experimental
